Restaurant,Date,City,Cuisine,Joe,Lee,Hugo,Nik,Zoe,Courtney,Randal,Victoria,Aiden,Jamie,Jos,Charlie,Oscar,Jess,Caty,Gillian,Victoria's Mum,Mum,Dad,NC,Photos,MS
Ceviche,Mar-19,London,Peruvian; Tapas,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,
Gloria,May-19,London,Italian; Trattoria,9.5,9.0,8.0,,9.5,,,,,,,,,,,,,,,,,
El Pastor,Oct-19,London,Mexican; Tacos,8.5,8.5,8.0,,,,,,,,,,,,,,,,,,,
Chotto Matte,Nov-19,London,Japanese; Peruvian; Nikkei; Fine Dining,9.0,9.0,9.5,,,,,,,,,,,,,,,,,,"https://i.postimg.cc/FFjTk3rG/IMG-20191102-194518.jpg
https://i.postimg.cc/mZQm1CLw/IMG-20191102-194521.jpg
https://i.postimg.cc/dQ85Zrsy/IMG-20191102-194524.jpg
https://i.postimg.cc/PfmSvYXm/IMG-20191102-195207.jpg
https://i.postimg.cc/T2rt5gdn/IMG-20191102-200245.jpg
https://i.postimg.cc/2j40LhkQ/IMG-20191102-201140.jpg
https://i.postimg.cc/8khZfMpr/IMG-20191102-201324.jpg
https://i.postimg.cc/J7bpHZry/IMG-20191102-202006.jpg
https://i.postimg.cc/MZy9fV6V/IMG-20191102-202059.jpg
https://i.postimg.cc/xjK6NMf5/IMG-20191102-203528.jpg
https://i.postimg.cc/h492QTDz/IMG-20191102-205302.jpg",
Flesh and Buns,Mar-20,London,Japanese; Izakaya; Bao,6.5,6.5,7.0,,,,,,,,,,,,,,,,,,,
Brindisa,Sep-20,London,Spanish; Tapas,9.0,8.0,8.0,,,,,,,,,,,,,,,,,,,
La Fabrica,Oct-20,London,Spanish; Tapas,6.0,5.5,7.0,,,,,,,,,,,,,,,,,,"https://i.postimg.cc/wBPdMP59/IMG-20200829-205551.jpg
https://i.postimg.cc/s28Rx8Py/IMG-20200829-205618.jpg
https://i.postimg.cc/HLKCnK0d/IMG-20200829-205633.jpg
https://i.postimg.cc/43MTyMvg/IMG-20200829-210805.jpg",
Paladar,Apr-21,London,Latin American,9.0,8.5,9.0,,,,,,,,,,,,,,,,,,"https://i.postimg.cc/90G1JMfV/20210425-192946.jpg
https://i.postimg.cc/3R0t0954/20210425-192948.jpg
https://i.postimg.cc/76JKJX8Q/20210425-193404.jpg
https://i.postimg.cc/qq8QjR7h/20210425-193450.jpg
https://i.postimg.cc/rmRfRgXW/20210425-193457.jpg
https://i.postimg.cc/wvRwRF8N/20210425-193851.jpg
https://i.postimg.cc/bJSmSLc2/20210425-193856.jpg
https://i.postimg.cc/BbxNM6v5/20210425-194026.jpg
https://i.postimg.cc/HW5SpS9f/20210425-195117.jpg
https://i.postimg.cc/D0q5BZzm/20210425-195121.jpg
https://i.postimg.cc/NM2d2bq6/20210425-195135.jpg
https://i.postimg.cc/L5dNtfmH/20210425-205105.jpg",BG
MBER,Jun-21,London,Pan-Asian; Fusion,8.0,7.5,7.5,,7.5,,,,,,,,,,,,,,,,"https://i.postimg.cc/HWBr7mzq/20210618-192904.jpg
https://i.postimg.cc/L5Chdkhm/20210618-193109.jpg
https://i.postimg.cc/VsDJbwg3/20210618-194645.jpg
https://i.postimg.cc/RCXWnmd8/20210618-194650.jpg
https://i.postimg.cc/DfBSbh6M/20210618-194858.jpg
https://i.postimg.cc/8cKs8dcY/20210618-194901.jpg
https://i.postimg.cc/kMf2tCs1/20210618-195137.jpg
https://i.postimg.cc/59nXFJgP/20210618-195142.jpg
https://i.postimg.cc/3rnkDh1n/20210618-200507.jpg
https://i.postimg.cc/gcNx6psh/20210618-210157.jpg
https://i.postimg.cc/5y7jc5ys/20210618-210924.jpg
https://i.postimg.cc/4yLnCvy2/20210618-210927.jpg
https://i.postimg.cc/yxQWqhxr/20210618-210939.jpg",
Moro,Sep-21,London,Spanish; North African; Moorish,7.0,7.5,8.0,,7.0,,,,,,,,,,,,,,,,,
