Restaurant,"Average Rating (Joe, Lee and Hugo)",Average Rating (all who attended),Date,City,Cuisine,Joe,Lee,Hugo,Nik,Zoe,Courtney,Randal,Victoria,Aiden,Jamie,Jos,Charlie,Oscar,Jess,Caty,Gillian,Victoria's Mum,Mum,Dad,Photos
Ceviche,7,7,Mar-19,London,Peruvian,7,7,7,,,,,,,,,,,,,,,,,
Gloria,8.83,9,May-19,London,Italian,9.5,9,8,,9.5,,,,,,,,,,,,,,,
El Pastor,8.33,8.33,Oct-19,London,Mexican,8.5,8.5,8,,,,,,,,,,,,,,,,,
Chotto Matte,9.17,9.17,Nov-19,London,Nikkei,9,9,9.5,,,,,,,,,,,,,,,,,
Flesh and Buns,6.67,6.67,Mar-20,London,Japanese,6.5,6.5,7,,,,,,,,,,,,,,,,,
Brindisa,8.33,8.33,Sep-20,London,Spanish,9,8,8,,,,,,,,,,,,,,,,,
La Fabrica,6.17,6.17,Oct-20,London,Spanish,6,5.5,7,,,,,,,,,,,,,,,,,
Paladar,8.83,8.83,Apr-21,London,Latin American,9,8.5,9,,,,,,,,,,,,,,,,,
MBER,7.67,7.63,Jun-21,London,Fusion,8,7.5,7.5,,7.5,,,,,,,,,,,,,,,
Moro,7.5,7.38,Sep-21,London,North African,7,7.5,8,,7,,,,,,,,,,,,,,,
Bar Douro,7.5,7.5,Feb-22,London,Portuguese,8,7,7.5,,,,,,,,,,,,,,,,,
Coya,9,9,Apr-22,London,Peruvian,9,9,9,,,,,,,,,,,,,,,,,
La Rampa,7.67,7.67,Oct-22,London,Cuban,8,7.5,7.5,,,,,,,,,,,,,,,,,
Yauatcha,8.17,8.17,Nov-22,London,Dim Sum,8,8,8.5,,,,,,,,,,,,,,,,,
Caldesi,6.5,6.5,Jan-23,London,Italian,7.5,7,5,,6.5,,,,,,,,,,,,,,,
Zapote,8,8,Mar-23,London,Mexican,8,8,8,,,,,,,,,,,,,,,,,
Hawksmoor,8.17,8.17,May-23,London,Steak,8.5,8,8,,,,,,,,,,,,,,,,,
Andrew Edmunds,7.5,7.5,Oct-23,London,Modern European,7.5,7.5,7.5,,,,,,,,,,,,,,,,,
Sucre,7.67,7.67,Mar-24,London,Latin American,8,8.5,6.5,,,,,,,,,,,,,,,,,
Zima,6.5,6.5,Apr-24,London,Russian,6,6.5,7,,,,,,,,,,,,,,,,,
Leroy,8,8,Jul-24,London,Modern European,7.5,8,8.5,,,,,,,,,,,,,,,,,
The Seafood Bar,N/A,8,Jul-24,London,Seafood,,,7,9,,,,,,,,,,,,,,,,
Yautcha,N/A,8.25,Jul-24,London,Dim Sum,,,8.5,8,,,,,,,,,,,,,,,,
Osteria Donna Carmela ,N/A,6.5,Aug-24,Valetta,Italian,,7,6,,,,,,,,,,,,,,,,,
Peppinos,N/A,6.5,Aug-24,Valetta,Italian,,6.5,6.5,,,,,,,,,,,,,,,,,
Taproom ,N/A,6.5,Aug-24,Valetta,Maltese,,6.5,6.5,,,,,,,,,,,,,,,,,
Muza ,N/A,7,Aug-24,Valetta,Maltese,,7,7,,,,,,,,,,,,,,,,,
One80 Gozo,N/A,7.25,Aug-24,Gozo,Modern European,,7,7.5,,,,,,,,,,,,,,,,,
Chop House Silema,N/A,7.75,Aug-24,Silema ,Steak,,7.5,8,,,,,,,,,,,,,,,,,
Roka,N/A,8,Aug-24,London,Japanese,,,8,8,,,,,,,,,,,,,,,,
One80 Valetta,N/A,8.25,Aug-24,Valetta,Modern European,,8,8.5,,,,,,,,,,,,,,,,,
45 Jermyn Street,N/A,8.75,Aug-24,London,Modern European,,,8.5,9,,,,,,,,,,,,,,,,
